English lemmas,English Definition,Arabic  lemmas or Gap,Arabic Definition
kidney_bean, large dark red bean; usually dried ,GAP,
field_soybean, seeds used as livestock feed ,فول صويا,نبات حولي من الفصيلة القرنية يزرع لبذوره الغنية وأيضا كعلف للماشية
"cajan_pea, pigeon_pea, dahl", small highly nutritious seed of the tropical pigeon-pea plant ,GAP,
field_pea, coarse small-seeded pea often used as food when young and tender ,بازيلاء,"نوع من الخضار الورقية التي تنتمي إلى عائلة البقوليات. يزرع البازيلاء في جميع أنحاء العالم، ويعتبر من الأطعمة الأساسية في العديد من البلدان."
"snow_pea, sugar_pea", green peas with flat edible pods ,GAP,
sugar_snap_pea, green peas with edible pods that are very crisp and not flat ,بازلاء سكرية,"نوع من البازلاء تتميز بقرونها الخضراء الصالحة للأكل، والتي تكون مسطحة ورقيقة مقارنة بأنواع البازلاء الأخرى. تتميز هذه البازلاء بقرونها الحلوة والمقرمشة، حيث يمكن تناولها كاملة بما في ذلك القرون والبذور الموجودة بداخلها."
marrowfat_pea, a variety of large pea that is commonly processed and sold in cans ,GAP,
pulse, edible seeds of various pod-bearing plants (peas or beans or lentils etc.) ,بقوليات,"مجموعة متنوعة من النباتات المزهرة التي تزرع للحصول على بذورها الصالحة للأكل. وتضم البقوليات العديد من الأنواع، مثل الفاصوليا والفول والعدس والبازلاء."
onion, an aromatic flavorful vegetable ,بصل,"هو من النباتات العشبية المعمرة التي تنمو تحت الأرض. يتكون البصل من ساق قرصية الشكل ، وقواعد الأوراق الشحمية ، والجذور الليفية. البصل له طعم قوي وحاد ، ويستخدم في العديد من الأطباق المختلفة ، بما في ذلك الحساء واليخنات والسلطات والصلصات."
bluefish, fatty bluish flesh of bluefish ,GAP,
"bream, sea_bream", flesh of any of various saltwater fishes of the family Sparidae or the family Bramidae ,"سمك دنيس، أو سبريم، أو وراطة","نوع من الأسماك البحرية، ينتمي إلى عائلة الأسبورية. وهو سمك صغير إلى متوسط الحجم، يبلغ طوله عادة من 20 إلى 30 سم. يتميز سمك الدنيس بلونه الذهبي الفاتح، ولحمه الأبيض الطري."
butterfish, any of numerous small flat Atlantic food fish having smooth skin ,GAP,
salt_cod, codfish preserved in salt; must be desalted and flaked by soaking in water and pounding; used in e.g. codfish cakes ,سمك بكلاة,"نوع من السمك المجفف والمملح، ويُحضر عادة من سمك القد. يعتبر البكالاة من الأطعمة التقليدية في العديد من الثقافات والمطابخ، وخصوصًا في البحر الأبيض المتوسط وأوروبا."
"cod, codfish", lean white flesh of important North Atlantic food fish; usually baked or poached ,GAP,
croaker, the lean flesh of a saltwater fish caught along Atlantic coast of southern U.S. ,GAP,
cusk, the lean flesh of a cod-like fish of North Atlantic waters ,GAP,
"dolphinfish, mahimahi", the lean flesh of a saltwater fish found in warm waters (especially in Hawaii) ,GAP,
flounder, flesh of any of various American and European flatfish ,GAP,
flatfish, sweet lean whitish flesh of any of numerous thin-bodied fish; usually served as thin fillets ,سمك مفلطح,"نوع من الأسماك الملساء تشمل بعض الأجناس المفلطحة الشكل كسمك موسى، وسمك الترس وغيرهما"
blue_crab, Atlantic crab; most common source of fresh crabmeat ,سرطان بحر أزرق,"نوع من سرطان البحر الذي يعيش في المياه الساحلية في شرق أمريكا الشمالية. يعرف سرطان البحر الأزرق أيضا باسم ""سرطان البحر الحقيقي"" أو ""سرطان البحر التجاري"". هو نوع شائع يتم صيده لأغراض الغذاء. "
crab_legs, legs of especially Alaska king crabs ,أرجل سلطعون,"أرجل السلطعون الصالحة للأكل. تستخدم أرجل السلطعون عادة في المأكولات البحرية، ويمكن أن تؤكل نيئة أو مطبوخة. أرجل السلطعون هي مصدر جيد للبروتينات والأحماض الدهنية أوميغا 3. "
dungeness_crab, flesh of Cancer magister (Dungeness crab) ,GAP,
japanese_crab, crabmeat usually canned; from Japan ,GAP,
stone_crab, pale flesh with delicate texture and flavor; found in Florida but now very rare ,GAP,
"soft-shell_crab, soft-shelled_crab", freshly molted crab with new shell still tender and flexible ,GAP,
"crayfish, crawfish, crawdad, ecrevisse", warm-water lobsters without claws; those from Australia and South Africa usually marketed as frozen tails; caught also in Florida and California ,جراد بحر,"حيوان بحري يؤكل، وهو من القشريات العشريات الأرجل، وهو نوع من سرطان البحر يختلف عنه في شيء واحد، هو فقدانه الكلابتين الأماميتين، ويشبه الجمبري في تركيبه الخارجي"
"huitre, oyster", edible body of any of numerous oysters ,سمك محار,حيوانات من الرخويات تمتاز بأن لها أصدافا مشرقة الألوان ولحما صالحا للأكل
oysters_rockefeller, oysters spread with butter and spinach and seasonings and baked on the half shell ,GAP,
"bluepoint, blue_point", oysters originally from Long Island Sound but now from anywhere along the northeastern seacoast; usually eaten raw ,GAP,
limpet, mollusk with a low conical shell ,GAP,
lobster, flesh of a lobster ,GAP,
"american_lobster, northern_lobster, maine_lobster", flesh of cold-water lobsters having large tender claws; caught from Maine to the Carolinas ,GAP,
lobster_tail, lobster tail meat; usually from spiny rock lobsters ,GAP,
mussel, black marine bivalves usually steamed in wine ,بلح البحر,"نوع من المحاريات يُعتبر طعاماً شهيًا، يُطهى بعدة طرق ويُستخدم في الأطباق البحرية."
"scallop, scollop, escallop", edible muscle of mollusks having fan-shaped shells; served broiled or poached or in salads or cream sauces ,أسقلوب,"نوع من المحار الذي يتميز بصدفتيه المتماثلتين. يعرف الإسكالوب أيضا باسم ""محار السباحة"" أو ""محار المحار"". يعد الإسكالوب من المأكولات البحرية الشهيرة، ويمكن أن يؤكل نيئا أو مطبوخا. الإسكالوب هو مصدر جيد للبروتينات والحديد. "
european_lobster, similar to but smaller than American lobsters ,GAP,
bay_scallop, muscle of small choice shallow-water scallops ,أسقلوب أو محار مروحي,"نوع من المحار الذي يتميز بصدفتيه على شكل مروحة. يعرف الأسقلوب أيضا باسم ""محار المحار"" أو ""محار البحر"". يعد الأسقلوب من المأكولات البحرية الشهيرة، ويمكن أن يؤكل نيئا أو مطبوخا. الأسقلوب هو مصدر جيد للبروتينات والحديد. "
sea_scallop, muscle of large deep-water scallops ,GAP,
"spiny_lobster, langouste, rock_lobster, crayfish", warm-water lobsters without claws; those from Australia and South Africa usually marketed as frozen tails; caught also in Florida and California ,GAP,
"squid, calamari, calamary", (Italian cuisine) squid prepared as food ,GAP,
whelk, large marine snail much used as food in Europe ,GAP,
slop, (usually plural) weak or watery unappetizing food or drink ,GAP,
" Scotch, Scotch_whiskey, Scotch_whisky, malt_whiskey, malt_whisky, Scotch_malt_whiskey, Scotch_malt_whisky ", whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still ,GAP,
 espresso , strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans ,إسبريسو ,هو مشروب قهوة مصنوع من القهوة المطحونة بدقة ويتم ضغطها بقوة من خلال الماء الساخن. ينتج عن ذلك مشروب كثيف ذو قوام كريمي وطعم قوي. 
" iced_coffee, ice_coffee ", a strong sweetened coffee served over ice with cream ,قهوة مثلجة,"هي نوع من مشروب القهوة يُقدم باردًا، عادة ما تُخلط المحليات والنكهات في القهوة الساخنة قبل التبريد، وذلك بسبب سرعة ذوبان المكونات في الماء الساخن"
 Turkish_coffee , a drink made from pulverized coffee beans; usually sweetened ,قهوة تركية, هي نوع من القهوة المصنوعة من القهوة المطحونة جيدا ويتم تحضيرها باستخدام الماء الساخن. تتميز القهوة التركية بنكهة قوية وغنية. غالبا ما يتم تقديم القهوة التركية مع التمر أو الحلويات. 
